Entries,Chaining,Probing,Double
10,2.1421e-05,6.835e-06,7.046e-06
50010,0.0460046,0.0425027,0.0425827
100010,0.0884211,0.0713522,0.0577597
150010,0.150798,0.316918,0.108858
200010,0.173999,0.810683,0.122343
250010,0.344333,1.99268,0.215511
300010,0.328326,2.26195,0.217752
350010,0.345715,2.70512,0.259199
400010,0.355055,2.94668,0.247534
450010,0.375617,3.35086,0.261468
500010,0.756788,4.83775,0.451117
550010,0.76521,5.06309,0.472989
600010,0.771706,5.29464,0.587349
650010,0.900707,5.52768,0.498488
700010,0.826487,5.68937,0.525695
750010,0.848982,5.75223,0.52325
800010,0.8665,5.84427,0.549638
850010,0.878951,5.99111,0.557553
900010,0.904615,6.21041,0.568543
950010,1.61601,6.54042,0.60897
1000010,1.65472,8.27234,1.01664
